base_au_rank,base_au_id,au_id,site_series_id,site_series_label,site_series_split_applied,site_series_split_threshold,base_au_area_share_for_split,source_fragment_count,forest_cover_id_count,covered_area_ha,covered_area_share,base_au_area_ha,base_au_area_share,base_au_cumulative_area_share,site_series_share_of_base_au
5,cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss05,ss05,BaCw - Foamflower (05),True,0.04,0.07,32,13,74.61297995061682,0.015509312414798391,314.4749493334842,0.06536785206902303,0.5109555924539216,0.23726207797713536
5,cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss07,ss07,BaCw - Salmonberry (07),True,0.04,0.07,38,20,73.846332025543,0.015349954322010832,314.4749493334842,0.06536785206902303,0.5109555924539216,0.23482421153753918
5,cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss01,ss01,HwBa - Blueberry (01),True,0.04,0.07,14,5,45.11125329486901,0.009376981340730419,314.4749493334842,0.06536785206902303,0.5109555924539216,0.14344943338246918
5,cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss03,ss03,HwCw - Salal (03),True,0.04,0.07,10,6,30.79894406983219,0.006401975178327947,314.4749493334842,0.06536785206902303,0.5109555924539216,0.09793767082277681
5,cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss14,ss14,CwSs - Skunk cabbage (14),True,0.04,0.07,11,9,30.538708585004464,0.0063478817291950885,314.4749493334842,0.06536785206902303,0.5109555924539216,0.09711014708716835
5,cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss04,ss04,CwHw - Swordfern (04),True,0.04,0.07,9,4,28.97206229997224,0.006022233206724473,314.4749493334842,0.06536785206902303,0.5109555924539216,0.09212836304251659
5,cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss06,ss06,HwBa - Deer fern (06),True,0.04,0.07,7,4,26.547007435534915,0.005518152904068311,314.4749493334842,0.06536785206902303,0.5109555924539216,0.08441692253007793
5,cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss05,ss05,Cw - Swordfern (05),True,0.04,0.07,3,2,4.047661672111538,0.0008413609731675664,314.4749493334842,0.06536785206902303,0.5109555924539216,0.01287117362031659
6,cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss03,ss03,FdHw - Salal (03),True,0.04,0.06,29,17,80.83973965891299,0.016803628252495286,289.5712833954583,0.060191289819904285,0.5711468822738259,0.27917042985409823
6,cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss01,ss01,Hw - Flatmoss (01),True,0.04,0.06,29,19,71.77673410172886,0.014919760530063424,289.5712833954583,0.060191289819904285,0.5711468822738259,0.2478724176654826
6,cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss05,ss05,Cw - Swordfern (05),True,0.04,0.06,25,18,65.44537785593452,0.0136037028938398,289.5712833954583,0.060191289819904285,0.5711468822738259,0.22600783160724489
6,cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss04,ss04,Fd - Swordfern (04),True,0.04,0.06,9,8,37.918227274941934,0.00788181404109088,289.5712833954583,0.060191289819904285,0.5711468822738259,0.13094608978597583
6,cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss02,ss02,FdPl - Cladina (02),True,0.04,0.06,6,6,12.681577864478923,0.0026360366941914305,289.5712833954583,0.060191289819904285,0.5711468822738259,0.04379432143884273
6,cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss07,ss07,Cw - Foamflower (07),True,0.04,0.06,15,9,10.90743113939778,0.0022672564116295165,289.5712833954583,0.060191289819904285,0.5711468822738259,0.03766751665254682
6,cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss01,ss01,HwBa - Blueberry (01),True,0.04,0.06,6,2,6.903241041670858,0.0014349315904658023,289.5712833954583,0.060191289819904285,0.5711468822738259,0.02383952220926314
