au_id,managed_curve_id,age,volume,height,dbhq,tph,gross_yield,crown_cover
cwh_dm_x_fdc_hw_ss01,60009,0,0.0,0.0,,,0.0,0.0
cwh_dm_x_fdc_hw_ss01,60009,10,0.0,5.5,,,3.1,38.0
cwh_dm_x_fdc_hw_ss01,60009,20,104.0,14.3,,,143.9,97.8
cwh_dm_x_fdc_hw_ss01,60009,30,347.2,22.1,,,402.1,98.3
cwh_dm_x_fdc_hw_ss01,60009,40,604.1,28.6,,,675.6,97.9
cwh_dm_x_fdc_hw_ss01,60009,50,845.8,34.0,,,942.4,97.5
cwh_dm_x_fdc_hw_ss01,60009,60,1064.0,38.5,,,1200.6,97.0
cwh_dm_x_fdc_hw_ss01,60009,70,1254.2,42.3,,,1439.6,96.5
cwh_dm_x_fdc_hw_ss01,60009,80,1417.7,45.6,,,1655.8,96.0
cwh_dm_x_fdc_hw_ss01,60009,90,1558.1,48.4,,,1851.1,95.4
cwh_dm_x_fdc_hw_ss01,60009,100,1678.0,50.8,,,2025.2,94.9
cwh_dm_x_fdc_hw_ss01,60009,110,1783.2,53.0,,,2178.7,94.3
cwh_dm_x_fdc_hw_ss01,60009,120,1882.0,54.9,,,2323.3,93.8
cwh_dm_x_fdc_hw_ss01,60009,130,1968.0,56.5,,,2450.9,93.3
cwh_dm_x_fdc_hw_ss01,60009,140,2038.1,58.0,,,2559.4,92.7
cwh_dm_x_fdc_hw_ss01,60009,150,2100.4,59.3,,,2659.9,92.2
cwh_dm_x_fdc_hw_ss01,60009,160,2151.5,60.5,,,2741.4,91.7
cwh_dm_x_fdc_hw_ss01,60009,170,2191.9,61.6,,,2806.9,91.1
cwh_dm_x_fdc_hw_ss01,60009,180,2220.7,62.6,,,2858.4,90.6
cwh_dm_x_fdc_hw_ss01,60009,190,2230.5,63.5,,,2885.3,90.1
cwh_dm_x_fdc_hw_ss01,60009,200,2237.1,64.3,,,2908.5,89.6
cwh_dm_x_fdc_hw_ss01,60009,210,2240.9,65.0,,,2928.7,89.1
cwh_dm_x_fdc_hw_ss01,60009,220,2230.7,65.7,,,2931.5,88.6
cwh_dm_x_fdc_hw_ss01,60009,230,2218.2,66.3,,,2931.5,88.1
cwh_dm_x_fdc_hw_ss01,60009,240,2205.6,66.9,,,2931.5,87.6
cwh_dm_x_fdc_hw_ss01,60009,250,2193.1,67.4,,,2931.5,87.1
cwh_dm_x_fdc_hw_ss01,60009,260,2180.6,67.9,,,2931.5,86.6
cwh_dm_x_fdc_hw_ss01,60009,270,2168.1,68.4,,,2931.5,86.1
cwh_dm_x_fdc_hw_ss01,60009,280,2155.5,68.8,,,2931.5,85.7
cwh_dm_x_fdc_hw_ss01,60009,290,2143.0,69.2,,,2931.5,85.2
cwh_dm_x_fdc_hw_ss01,60009,300,2130.5,69.6,,,2931.5,84.7
cwh_dm_x_fdc_hw_ss01,60009,310,2117.9,69.9,,,2931.5,84.2
cwh_dm_x_fdc_hw_ss01,60009,320,2105.4,70.3,,,2931.5,83.7
cwh_dm_x_fdc_hw_ss01,60009,330,2092.9,70.6,,,2931.5,83.2
cwh_dm_x_fdc_hw_ss01,60009,340,2080.3,70.9,,,2931.5,82.7
cwh_dm_x_fdc_hw_ss01,60009,350,2067.8,71.2,,,2931.5,82.2
cwh_vm_1_hw_cw_ss03,60010,0,0.0,0.0,,,0.0,0.0
cwh_vm_1_hw_cw_ss03,60010,10,0.0,3.0,,,0.1,11.6
cwh_vm_1_hw_cw_ss03,60010,20,0.2,7.8,,,15.1,67.9
cwh_vm_1_hw_cw_ss03,60010,30,55.0,12.5,,,93.7,95.2
cwh_vm_1_hw_cw_ss03,60010,40,168.9,16.7,,,214.1,97.5
cwh_vm_1_hw_cw_ss03,60010,50,281.7,20.3,,,336.1,97.3
cwh_vm_1_hw_cw_ss03,60010,60,384.0,23.4,,,447.1,96.9
cwh_vm_1_hw_cw_ss03,60010,70,490.4,26.1,,,563.2,96.4
cwh_vm_1_hw_cw_ss03,60010,80,587.5,28.4,,,671.0,96.0
