source_feature_class,res_key,forest_cover_id,bec,bec_zone,bec_subzone,bec_variant,leading_species_1,leading_species_2,leading_species_1_share,leading_species_2_share,species_count,tie_break_used,shape_area_ha,au_id,assignment_status
resultant,1825,256,CWHdm,cwh,dm,x,cw,fdc,55.0,25.0,4,False,0.1573011395203299,cwh_dm_x_cw_fdc,assigned
resultant,1841,270,CWHdm,cwh,dm,x,cw,fdc,46.0,28.0,4,False,1.903687869626961,cwh_dm_x_cw_fdc,assigned
resultant,1842,270,CWHdm,cwh,dm,x,cw,fdc,46.0,28.0,4,False,2.650753167480545,cwh_dm_x_cw_fdc,assigned
resultant,1844,448,CWHdm,cwh,dm,x,cw,fdc,55.0,30.0,3,False,1.4213714189219715,cwh_dm_x_cw_fdc,assigned
resultant,1845,448,CWHdm,cwh,dm,x,cw,fdc,55.0,30.0,3,False,0.21428050699800014,cwh_dm_x_cw_fdc,assigned
resultant,1846,448,CWHdm,cwh,dm,x,cw,fdc,55.0,30.0,3,False,1.0740653502635502,cwh_dm_x_cw_fdc,assigned
resultant,1847,448,CWHdm,cwh,dm,x,cw,fdc,55.0,30.0,3,False,3.048243346036158,cwh_dm_x_cw_fdc,assigned
resultant,27,45,CWHdm,cwh,dm,x,cw,hw,80.0,20.0,2,False,2.4539243190834754,cwh_dm_x_cw_hw,assigned
resultant,271,1055,CWHdm,cwh,dm,x,cw,hw,55.0,35.0,4,False,0.10512039420289916,cwh_dm_x_cw_hw,assigned
resultant,272,1055,CWHdm,cwh,dm,x,cw,hw,55.0,35.0,4,False,6.284025969501191,cwh_dm_x_cw_hw,assigned
resultant,308,769,CWHdm,cwh,dm,x,cw,hw,75.0,22.0,3,False,3.9698257528590912,cwh_dm_x_cw_hw,assigned
resultant,311,398,CWHdm,cwh,dm,x,cw,hw,70.0,20.0,4,False,12.655783598452556,cwh_dm_x_cw_hw,assigned
resultant,315,620,CWHdm,cwh,dm,x,cw,hw,50.0,45.0,3,False,21.586080551454074,cwh_dm_x_cw_hw,assigned
resultant,346,617,CWHdm,cwh,dm,x,cw,hw,50.0,30.0,4,False,8.843975245488503,cwh_dm_x_cw_hw,assigned
resultant,359,79,CWHdm,cwh,dm,x,cw,hw,50.0,30.0,3,False,0.7408820648997837,cwh_dm_x_cw_hw,assigned
resultant,360,79,CWHdm,cwh,dm,x,cw,hw,50.0,30.0,3,False,1.6093837262188573,cwh_dm_x_cw_hw,assigned
resultant,385,941,CWHdm,cwh,dm,x,cw,hw,60.0,40.0,2,False,0.9205508250766096,cwh_dm_x_cw_hw,assigned
resultant,583,909,CWHdm,cwh,dm,x,cw,hw,50.0,25.0,4,False,0.6262525246985967,cwh_dm_x_cw_hw,assigned
resultant,584,909,CWHdm,cwh,dm,x,cw,hw,50.0,25.0,4,False,0.29968633382787624,cwh_dm_x_cw_hw,assigned
resultant,588,395,CWHdm,cwh,dm,x,cw,hw,60.0,40.0,2,False,3.058615429446228,cwh_dm_x_cw_hw,assigned
resultant,589,395,CWHdm,cwh,dm,x,cw,hw,60.0,40.0,2,False,1.930502513186408,cwh_dm_x_cw_hw,assigned
