raw_au_id,au_id,was_aggregated,source_fragment_count,forest_cover_id_count,covered_area_ha,covered_area_share,target_area_ha,raw_share_of_target_area
cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss04,True,9,8,37.918227274941934,0.007881814041090882,37.918227274941934,1.0
cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss05,True,25,18,65.44537785593452,0.013603702893839805,65.44537785593452,1.0
cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss07,True,15,9,10.90743113939778,0.0022672564116295174,10.90743113939778,1.0
cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss12,True,4,2,2.5222970924337798,0.0005242934089401656,2.5222970924337798,1.0
cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ssnonforestedrocks,True,1,1,0.576657365958613,0.00011986599718797218,0.576657365958613,1.0
cwh_dm_x_mb_dr,cwh_dm_x_mb_dr,False,1,1,1.0569963142940255,0.0002197109145154972,1.0569963142940255,1.0
cwh_dm_x_x_x,cwh_dm_x_x_x,False,5,3,1.3220011657359652,0.00027479574071022285,1.3220011657359652,1.0
cwh_vm_1_cw_ba,cwh_vm_1_cw_ba,False,5,3,13.664277391005633,0.002840304021094399,13.664277391005633,1.0
cwh_vm_1_cw_dr,cwh_vm_1_cw_dr,False,9,3,14.12425264509792,0.0029359160704122947,14.12425264509792,1.0
cwh_vm_1_cw_fdc,cwh_vm_1_cw_fdc,False,20,15,93.12984876206522,0.01935829289420915,93.12984876206522,1.0
cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss01,True,14,5,45.11125329486901,0.009376981340730423,45.11125329486901,1.0
cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss03,True,10,6,30.79894406983219,0.0064019751783279495,30.79894406983219,1.0
cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss04,True,9,4,28.97206229997224,0.0060222332067244744,28.97206229997224,1.0
cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss05,True,35,14,78.66064162272835,0.01635067338796596,78.66064162272835,1.0
cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss06,True,7,4,26.547007435534915,0.005518152904068313,26.547007435534915,1.0
cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss07,True,38,20,73.846332025543,0.015349954322010837,73.846332025543,1.0
cwh_vm_1_cw_hw,cwh_vm_1_cw_hw_ss14,True,11,9,30.538708585004464,0.00634788172919509,30.538708585004464,1.0
cwh_vm_1_cw_x,cwh_vm_1_cw_x,False,1,1,0.4504065667450379,9.36230688272864e-05,0.4504065667450379,1.0
cwh_vm_1_cw_yc,cwh_vm_1_cw_yc,False,1,1,6.261868028407877,0.0013016135747036678,6.261868028407877,1.0
cwh_vm_1_dr_act,cwh_vm_1_dr_act,False,2,1,3.0929338743476156,0.0006429079466778947,3.0929338743476156,1.0
cwh_vm_1_dr_cw,cwh_vm_1_dr_cw,False,10,4,15.630131671792425,0.0032489333001135532,15.630131671792425,1.0
cwh_vm_1_dr_fdc,cwh_vm_1_dr_fdc,False,1,1,1.870053715607426,0.00038871584176112715,1.870053715607426,1.0
cwh_vm_1_dr_hw,cwh_vm_1_dr_hw,False,13,5,25.722510047681997,0.00534677002160122,25.722510047681997,1.0
cwh_vm_1_fdc_act,cwh_vm_1_fdc_act,False,2,1,10.884096529340132,0.0022624059987697027,10.884096529340132,1.0
