TRACK,OFFSET,NEXTAGE,CYCLE,status,au,auf,oper,ct,aux
162,0,0,0,C,2021,2021,Operable,N,521
163,0,0,0,N,694,2021,Operable,N,694
164,0,0,0,C,694,2021,Operable,N,694
165,0,0,0,C,2021,2021,Operable,N,694
166,0,0,0,N,350,2021,Operable,N,350
167,0,0,0,C,350,2021,Operable,N,350
168,0,0,0,C,2021,2021,Operable,N,350
169,0,0,0,N,404,404,Reserve,N,404
170,0,0,0,N,594,2021,Operable,N,594
171,0,0,0,C,594,2021,Operable,N,594
172,0,0,0,C,2021,2021,Operable,N,594
173,0,0,0,N,639,2021,Low Operability,N,639
174,0,0,0,C,639,2021,Low Operability,N,639
175,0,0,0,C,2021,2021,Low Operability,N,639
176,0,0,0,N,406,406,Reserve,N,406
177,0,0,0,N,407,407,Reserve,N,407
178,0,0,0,N,410,410,Reserve,N,410
179,0,0,0,N,640,2011,Low Operability,N,640
180,0,0,0,C,640,2011,Low Operability,N,640
181,0,0,0,C,2011,2011,Low Operability,N,640
182,0,0,0,N,904,904,Reserve,N,904
183,0,0,0,N,977,2001,Operable,N,977
184,0,0,0,C,977,2001,Operable,N,977
185,0,0,0,C,2001,2001,Operable,N,977
186,0,0,0,N,230,2021,Operable,N,230
187,0,0,0,C,230,2021,Operable,N,230
188,0,0,0,C,2021,2021,Operable,N,230
189,0,0,0,N,243,2021,Operable,N,243
190,0,0,0,C,243,2021,Operable,N,243
191,0,0,0,C,2021,2021,Operable,N,243
192,0,0,0,N,416,416,Reserve,N,416
193,0,0,0,N,527,2011,Operable,N,527
194,0,0,0,C,527,2011,Operable,N,527
195,0,0,0,C,2011,2011,Operable,N,527
196,0,0,0,N,556,2011,Low Operability,N,556
197,0,0,0,C,556,2011,Low Operability,N,556
198,0,0,0,C,2011,2011,Low Operability,N,556
199,0,0,0,N,602,2011,Operable,N,602
200,0,0,0,C,602,2011,Operable,N,602
201,0,0,0,C,2011,2011,Operable,N,602
202,0,0,0,N,634,2021,Operable,N,634
203,0,0,0,C,634,2021,Operable,N,634
204,0,0,0,C,2021,2021,Operable,N,634
205,0,0,0,N,725,2021,Operable,N,725
206,0,0,0,C,725,2021,Operable,N,725
207,0,0,0,C,2021,2021,Operable,N,725
208,0,0,0,N,151,2021,Operable,N,151
209,0,0,0,C,151,2021,Operable,N,151
210,0,0,0,C,2021,2021,Operable,N,151
211,0,0,0,N,376,2001,Low Operability,N,376
212,0,0,0,C,376,2001,Low Operability,N,376
213,0,0,0,C,2001,2001,Low Operability,N,376
214,0,0,0,N,402,2001,Operable,N,402
215,0,0,0,C,402,2001,Operable,N,402
216,0,0,0,C,2001,2001,Operable,N,402
217,0,0,0,N,480,480,Reserve,N,480
218,0,0,0,N,625,625,Reserve,N,625
219,0,0,0,N,711,2021,Low Operability,N,711
220,0,0,0,C,711,2021,Low Operability,N,711
221,0,0,0,C,2021,2021,Low Operability,N,711
222,0,0,0,N,508,2011,Operable,N,508
223,0,0,0,C,508,2011,Operable,N,508
224,0,0,0,C,2011,2011,Operable,N,508
225,0,0,0,N,542,2001,Operable,N,542
226,0,0,0,C,542,2001,Operable,N,542
227,0,0,0,C,2001,2001,Operable,N,542
228,0,0,0,N,557,2011,Low Operability,N,557
229,0,0,0,C,557,2011,Low Operability,N,557
230,0,0,0,C,2011,2011,Low Operability,N,557
231,0,0,0,N,739,739,Reserve,N,739
232,0,0,0,N,220,2011,Operable,N,220
233,0,0,0,C,220,2011,Operable,N,220
234,0,0,0,C,2011,2011,Operable,N,220
235,0,0,0,N,465,2021,Low Operability,N,465
236,0,0,0,C,465,2021,Low Operability,N,465
237,0,0,0,C,2021,2021,Low Operability,N,465
238,0,0,0,N,604,2011,Operable,N,604
239,0,0,0,C,604,2011,Operable,N,604
240,0,0,0,C,2011,2011,Operable,N,604
241,0,0,0,N,384,2021,Operable,N,384
242,0,0,0,C,384,2021,Operable,N,384
243,0,0,0,C,2021,2021,Operable,N,384
244,0,0,0,N,399,399,Reserve,N,399
245,0,0,0,N,543,2001,Operable,N,543
246,0,0,0,C,543,2001,Operable,N,543
247,0,0,0,C,2001,2001,Operable,N,543
248,0,0,0,N,666,2011,Low Operability,N,666
249,0,0,0,C,666,2011,Low Operability,N,666
250,0,0,0,C,2011,2011,Low Operability,N,666
251,0,0,0,N,759,2011,Low Operability,N,759
252,0,0,0,C,759,2011,Low Operability,N,759
253,0,0,0,C,2011,2011,Low Operability,N,759
254,0,0,0,N,762,2011,Low Operability,N,762
255,0,0,0,C,762,2011,Low Operability,N,762
256,0,0,0,C,2011,2011,Low Operability,N,762
257,0,0,0,N,765,765,Reserve,N,765
