track,treatment,begin_age,end_age,au_id,origin,statecode,newtrack,natural_hw_share_pct,treated_hw_share_pct,missing_hw_in_treated_bootstrap,ct_intensity_dependency,audit_flags
1222,CT40,40,44,cwh_vm_2_cw_fdc,treated,EM,1230,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1222,CT45,45,49,cwh_vm_2_cw_fdc,treated,EM,19422,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1223,CT35,35,39,cwh_vm_2_cw_fdc,treated,FM,19423,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1223,CT40,40,44,cwh_vm_2_cw_fdc,treated,FM,1242,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1223,CT45,45,49,cwh_vm_2_cw_fdc,treated,FM,19424,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1359,CT35,35,39,cwh_vm_1_cw_hw,treated,EM,19425,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1359,CT40,40,44,cwh_vm_1_cw_hw,treated,EM,1367,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1359,CT45,45,49,cwh_vm_1_cw_hw,treated,EM,19426,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1360,CT35,35,39,cwh_vm_1_cw_hw,treated,FM,19427,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1360,CT40,40,44,cwh_vm_1_cw_hw,treated,FM,1379,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1360,CT45,45,49,cwh_vm_1_cw_hw,treated,FM,19428,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1386,CT35,35,39,cwh_dm_x_cw_dr,treated,EM,19429,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1386,CT40,40,44,cwh_dm_x_cw_dr,treated,EM,1394,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1386,CT45,45,49,cwh_dm_x_cw_dr,treated,EM,19430,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1387,CT35,35,39,cwh_dm_x_cw_dr,treated,FM,19431,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1387,CT40,40,44,cwh_dm_x_cw_dr,treated,FM,1406,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1387,CT45,45,49,cwh_dm_x_cw_dr,treated,FM,19432,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1520,CT35,35,39,cwh_vm_2_cw_hw,treated,EM,19433,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1520,CT40,40,44,cwh_vm_2_cw_hw,treated,EM,1528,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1520,CT45,45,49,cwh_vm_2_cw_hw,treated,EM,19434,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1521,CT35,35,39,cwh_vm_2_cw_hw,treated,FM,19435,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1521,CT40,40,44,cwh_vm_2_cw_hw,treated,FM,1540,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1521,CT45,45,49,cwh_vm_2_cw_hw,treated,FM,19436,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1642,CT35,35,39,cwh_vm_1_cw_hw,treated,EM,19437,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1642,CT40,40,44,cwh_vm_1_cw_hw,treated,EM,1650,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1642,CT45,45,49,cwh_vm_1_cw_hw,treated,EM,19438,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1643,CT35,35,39,cwh_vm_1_cw_hw,treated,FM,19439,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1643,CT40,40,44,cwh_vm_1_cw_hw,treated,FM,1662,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1643,CT45,45,49,cwh_vm_1_cw_hw,treated,FM,19440,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1851,CT35,35,39,cwh_vm_1_cw_hw,treated,EM,19441,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1851,CT40,40,44,cwh_vm_1_cw_hw,treated,EM,1859,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1851,CT45,45,49,cwh_vm_1_cw_hw,treated,EM,19442,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1852,CT35,35,39,cwh_vm_1_cw_hw,treated,FM,19443,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1852,CT40,40,44,cwh_vm_1_cw_hw,treated,FM,1871,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1852,CT45,45,49,cwh_vm_1_cw_hw,treated,FM,19444,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1905,CT35,35,39,cwh_dm_x_cw_fdc,treated,EM,19445,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1905,CT40,40,44,cwh_dm_x_cw_fdc,treated,EM,1913,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1905,CT45,45,49,cwh_dm_x_cw_fdc,treated,EM,19446,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1906,CT35,35,39,cwh_dm_x_cw_fdc,treated,FM,19447,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1906,CT40,40,44,cwh_dm_x_cw_fdc,treated,FM,1925,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1906,CT45,45,49,cwh_dm_x_cw_fdc,treated,FM,19448,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
1932,CT35,35,39,cwh_vm_1_cw_hw,treated,EM,19449,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1932,CT40,40,44,cwh_vm_1_cw_hw,treated,EM,1940,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1932,CT45,45,49,cwh_vm_1_cw_hw,treated,EM,19450,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1933,CT35,35,39,cwh_vm_1_cw_hw,treated,FM,19451,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1933,CT40,40,44,cwh_vm_1_cw_hw,treated,FM,1952,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1933,CT45,45,49,cwh_vm_1_cw_hw,treated,FM,19452,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1965,CT35,35,39,cwh_vm_2_cw_hw,treated,EM,19453,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1965,CT40,40,44,cwh_vm_2_cw_hw,treated,EM,1973,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1965,CT45,45,49,cwh_vm_2_cw_hw,treated,EM,19454,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1966,CT35,35,39,cwh_vm_2_cw_hw,treated,FM,19455,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1966,CT40,40,44,cwh_vm_2_cw_hw,treated,FM,1985,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1966,CT45,45,49,cwh_vm_2_cw_hw,treated,FM,19456,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1992,CT35,35,39,cwh_vm_2_cw_hw,treated,EM,19457,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1992,CT40,40,44,cwh_vm_2_cw_hw,treated,EM,2000,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1992,CT45,45,49,cwh_vm_2_cw_hw,treated,EM,19458,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1993,CT35,35,39,cwh_vm_2_cw_hw,treated,FM,19459,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1993,CT40,40,44,cwh_vm_2_cw_hw,treated,FM,2012,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1993,CT45,45,49,cwh_vm_2_cw_hw,treated,FM,19460,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2048,CT35,35,39,cwh_vm_1_cw_hw,treated,EM,19461,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2048,CT40,40,44,cwh_vm_1_cw_hw,treated,EM,2056,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2048,CT45,45,49,cwh_vm_1_cw_hw,treated,EM,19462,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2049,CT35,35,39,cwh_vm_1_cw_hw,treated,FM,19463,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2049,CT40,40,44,cwh_vm_1_cw_hw,treated,FM,2068,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2049,CT45,45,49,cwh_vm_1_cw_hw,treated,FM,19464,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2103,CT35,35,39,cwh_dm_x_cw_hw,natural,EN,19465,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,natural_ct_row_has_hw_available_for_removal
2103,CT40,40,44,cwh_dm_x_cw_hw,natural,EN,2111,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,natural_ct_row_has_hw_available_for_removal
2103,CT45,45,49,cwh_dm_x_cw_hw,natural,EN,19466,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,natural_ct_row_has_hw_available_for_removal
2104,CT35,35,39,cwh_dm_x_cw_hw,treated,FM,19467,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2104,CT40,40,44,cwh_dm_x_cw_hw,treated,FM,2123,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2104,CT45,45,49,cwh_dm_x_cw_hw,treated,FM,19468,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2130,CT35,35,39,cwh_vm_2_cw_hw,treated,EM,19469,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2130,CT40,40,44,cwh_vm_2_cw_hw,treated,EM,2138,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2130,CT45,45,49,cwh_vm_2_cw_hw,treated,EM,19470,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2131,CT35,35,39,cwh_vm_2_cw_hw,treated,FM,19471,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2131,CT40,40,44,cwh_vm_2_cw_hw,treated,FM,2150,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2131,CT45,45,49,cwh_vm_2_cw_hw,treated,FM,19472,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2184,CT35,35,39,cwh_dm_x_cw_hw,natural,EN,19473,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,natural_ct_row_has_hw_available_for_removal
2184,CT40,40,44,cwh_dm_x_cw_hw,natural,EN,2192,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,natural_ct_row_has_hw_available_for_removal
2184,CT45,45,49,cwh_dm_x_cw_hw,natural,EN,19474,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,natural_ct_row_has_hw_available_for_removal
2185,CT35,35,39,cwh_dm_x_cw_hw,treated,FM,19475,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2185,CT40,40,44,cwh_dm_x_cw_hw,treated,FM,2204,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2185,CT45,45,49,cwh_dm_x_cw_hw,treated,FM,19476,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2296,CT35,35,39,cwh_vm_1_cw_hw,treated,EM,19477,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2296,CT40,40,44,cwh_vm_1_cw_hw,treated,EM,2304,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2296,CT45,45,49,cwh_vm_1_cw_hw,treated,EM,19478,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2297,CT35,35,39,cwh_vm_1_cw_hw,treated,FM,19479,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2297,CT40,40,44,cwh_vm_1_cw_hw,treated,FM,2316,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2297,CT45,45,49,cwh_vm_1_cw_hw,treated,FM,19480,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2329,CT35,35,39,cwh_vm_2_cw_fdc,treated,EM,19481,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2329,CT40,40,44,cwh_vm_2_cw_fdc,treated,EM,2337,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2329,CT45,45,49,cwh_vm_2_cw_fdc,treated,EM,19482,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2330,CT35,35,39,cwh_vm_2_cw_fdc,treated,FM,19483,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2330,CT40,40,44,cwh_vm_2_cw_fdc,treated,FM,2349,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2330,CT45,45,49,cwh_vm_2_cw_fdc,treated,FM,19484,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2527,CT35,35,39,cwh_vm_1_cw_hw,treated,EM,19485,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2527,CT40,40,44,cwh_vm_1_cw_hw,treated,EM,2535,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2527,CT45,45,49,cwh_vm_1_cw_hw,treated,EM,19486,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2528,CT35,35,39,cwh_vm_1_cw_hw,treated,FM,19487,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2528,CT40,40,44,cwh_vm_1_cw_hw,treated,FM,2547,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2528,CT45,45,49,cwh_vm_1_cw_hw,treated,FM,19488,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2581,CT35,35,39,cwh_dm_x_cw_fdc,treated,EM,19489,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2581,CT40,40,44,cwh_dm_x_cw_fdc,treated,EM,2589,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2581,CT45,45,49,cwh_dm_x_cw_fdc,treated,EM,19490,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2582,CT35,35,39,cwh_dm_x_cw_fdc,treated,FM,19491,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2582,CT40,40,44,cwh_dm_x_cw_fdc,treated,FM,2601,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2582,CT45,45,49,cwh_dm_x_cw_fdc,treated,FM,19492,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2694,CT35,35,39,cwh_vm_2_cw_fdc,treated,EM,19493,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2694,CT40,40,44,cwh_vm_2_cw_fdc,treated,EM,2702,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2694,CT45,45,49,cwh_vm_2_cw_fdc,treated,EM,19494,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2695,CT35,35,39,cwh_vm_2_cw_fdc,treated,FM,19495,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2695,CT40,40,44,cwh_vm_2_cw_fdc,treated,FM,2714,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2695,CT45,45,49,cwh_vm_2_cw_fdc,treated,FM,19496,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
2721,CT35,35,39,cwh_dm_x_cw_hw,treated,EM,19497,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2721,CT40,40,44,cwh_dm_x_cw_hw,treated,EM,2729,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2721,CT45,45,49,cwh_dm_x_cw_hw,treated,EM,19498,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
2722,CT35,35,39,cwh_dm_x_cw_hw,treated,FM,19499,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
