au,BA,CW,DR,FD,HW,YC,Dec,Oth
170,0,33.4043259160946,0,66.5956740839053,0,0,0,0
171,0,50,0,40,0,0,0,10
173,0,26.1250508612505,0,73.8749491387494,0,0,0,0
174,0,45,0,5,50,0,0,0
175,0,20,0,10,70,0,0,0
176,10,40,0,30,0,10,0,10
177,0,31.6470897197154,0,26.3059256076015,37.3881487847968,0,0,4.65883588788616
178,0,60,0,20,20,0,0,0
179,0,0,100,0,0,0,0,0
180,0,55,0,10,35,0,0,0
181,0,50,0,25,25,0,0,0
182,0,50,0,10,40,0,0,0
183,0,10,5,45,40,0,0,0
184,0,25,40,0,35,0,0,0
185,0,70,0,5,25,0,0,0
186,0,30,0,25,45,0,0,0
187,10,40,0,30,0,20,0,0
188,0,18.1925890993712,9.09629454968563,39.0666745264146,33.6444418245284,0,0,0
189,0,50,10,30,10,0,0,0
190,0,5,45,25,20,0,5,0
191,0,0,0,80,20,0,0,0
192,0,18.9569580045626,18.9569580045626,41.0430419954373,21.0430419954373,0,0,0
193,0,20,45,10,0,0,25,0
194,0,0,35,40,15,0,10,0
195,0,60,0,30,0,0,0,10
196,0,0,0,100,0,0,0,0
197,0,0,0,100,0,0,0,0
198,0,45,0,45,0,0,0,10
199,0,10,5,25,50,0,10,0
200,0,10,0,50,40,0,0,0
201,0,0,20,35,30,0,15,0
202,0,15,0,15,70,0,0,0
203,0,50,0,5,45,0,0,0
204,0,20,0,50,30,0,0,0
205,0,5,15,50,20,0,10,0
206,0,10,0,30,60,0,0,0
207,0,18,0,58,24,0,0,0
208,0,10,0,15,75,0,0,0
209,0,35,5,0,55,0,5,0
210,0,5,40,5,20,0,30,0
211,0,55,0,20,25,0,0,0
212,0,60,20,0,20,0,0,0
213,0,40,5,10,45,0,0,0
214,0,0,90,2,3,0,5,0
215,0,0,5,50,45,0,0,0
216,0,10,0,5,85,0,0,0
217,0,25,0,0,75,0,0,0
218,0,20,0,0,80,0,0,0
219,0,10,0,40,50,0,0,0
220,5,80,0,0,15,0,0,0
221,0,70,0,0,30,0,0,0
222,0,10,60,0,10,0,20,0
223,0,60,0,0,40,0,0,0
224,0,35,5,10,50,0,0,0
225,0,50,0,50,0,0,0,0
226,0,25,0,0,75,0,0,0
227,0,33,0,2,65,0,0,0
228,0,20,0,30,50,0,0,0
229,0,40,35,0,25,0,0,0
230,0,20,0,5,75,0,0,0
231,0,20,0,5,75,0,0,0
232,0,0,0,100,0,0,0,0
233,0,0,0,100,0,0,0,0
234,0,15,25,40,20,0,0,0
235,0,15,0,35,50,0,0,0
236,0,20,15,40,20,0,5,0
237,0,15,0,15,70,0,0,0
238,0,10,0,60,20,0,10,0
239,0,10,80,0,0,0,10,0
240,0,35,0,15,45,0,5,0
241,0,5,0,80,15,0,0,0
242,0,70,0,5,25,0,0,0
243,0,40,0,5,55,0,0,0
244,3.20558542160514,25.6446833728411,0,55.1218040975279,0,16.0279271080257,0,0
245,10,40,0,30,0,20,0,0
246,0,20,0,5,75,0,0,0
247,0,40,0,0,60,0,0,0
248,10,30,0,30,0,20,0,10
249,0,50,0,50,0,0,0,0
250,0,40,0,0,60,0,0,0
251,10,25,5,20,40,0,0,0
253,0,0,0,80,20,0,0,0
254,0,90,0,10,0,0,0,0
255,0,10,0,60,30,0,0,0
256,0,55,15,25,5,0,0,0
257,0,17.9841627742045,5.54355237093737,76.472284854858,0,0,0,0
258,0,5,80,0,5,0,10,0
259,0,55,0,30,15,0,0,0
260,0,15,10,5,40,0,30,0
261,0,80,0,20,0,0,0,0
262,5,40,0,30,0,20,0,5
263,0,50,0,20,0,20,0,10
265,0,24.2135789622751,0,69.733026297156,0,0,0,6.05339474056879
266,0,30,70,0,0,0,0,0
267,0,0,3,55,42,0,0,0
268,0,15.4588150034,0,15.4588150034,0,0,69.0823699931999,0
269,10,50,0,30,0,10,0,0
270,0,46,11,28,15,0,0,0
271,0,8.36881594078133,0,83.4909209349478,8.14026312427081,0,0,0
272,0,65,0,5,30,0,0,0
273,0,38,1,44,15,0,2,0
274,0,40,30,30,0,0,0,0
275,3,44,0,39,6,8,0,0
276,0,65,0,5,30,0,0,0
