TRACK,STRATA
208,1.0 x 0+treatment()+status(N)+au(151)+auf(2021)+oper(Operable)+ct(N)+aux(151):R
209,1.0 x 0+treatment()+status(C)+au(151)+auf(2021)+oper(Operable)+ct(N)+aux(151)
210,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(151)
211,1.0 x 0+treatment()+status(N)+au(376)+auf(2001)+oper(Low Operability)+ct(N)+aux(376):R
212,1.0 x 0+treatment()+status(C)+au(376)+auf(2001)+oper(Low Operability)+ct(N)+aux(376)
213,1.0 x 0+treatment()+status(C)+au(2001)+auf(2001)+oper(Low Operability)+ct(N)+aux(376)
214,1.0 x 0+treatment()+status(N)+au(402)+auf(2001)+oper(Operable)+ct(N)+aux(402):R
215,1.0 x 0+treatment()+status(C)+au(402)+auf(2001)+oper(Operable)+ct(N)+aux(402)
216,1.0 x 0+treatment()+status(C)+au(2001)+auf(2001)+oper(Operable)+ct(N)+aux(402)
217,1.0 x 0+treatment()+status(N)+au(480)+auf(480)+oper(Reserve)+ct(N)+aux(480)
218,1.0 x 0+treatment()+status(N)+au(625)+auf(625)+oper(Reserve)+ct(N)+aux(625)
219,1.0 x 0+treatment()+status(N)+au(711)+auf(2021)+oper(Low Operability)+ct(N)+aux(711):R
220,1.0 x 0+treatment()+status(C)+au(711)+auf(2021)+oper(Low Operability)+ct(N)+aux(711)
221,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Low Operability)+ct(N)+aux(711)
222,1.0 x 0+treatment()+status(N)+au(508)+auf(2011)+oper(Operable)+ct(N)+aux(508):R
223,1.0 x 0+treatment()+status(C)+au(508)+auf(2011)+oper(Operable)+ct(N)+aux(508)
224,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Operable)+ct(N)+aux(508)
225,1.0 x 0+treatment()+status(N)+au(542)+auf(2001)+oper(Operable)+ct(N)+aux(542):R
226,1.0 x 0+treatment()+status(C)+au(542)+auf(2001)+oper(Operable)+ct(N)+aux(542)
227,1.0 x 0+treatment()+status(C)+au(2001)+auf(2001)+oper(Operable)+ct(N)+aux(542)
228,1.0 x 0+treatment()+status(N)+au(557)+auf(2011)+oper(Low Operability)+ct(N)+aux(557):R
229,1.0 x 0+treatment()+status(C)+au(557)+auf(2011)+oper(Low Operability)+ct(N)+aux(557)
