BLOCK,TYPE,TRACK,OFFSET,AREA
326,managed,645,102,2.98402
327,unmanaged,644,102,0.062744
327,managed,645,102,0.56469
328,unmanaged,644,2,0.268115
328,managed,645,2,2.41303
329,unmanaged,649,114,1.42726
329,managed,650,114,5.709
330,unmanaged,652,64,1.22521
330,managed,653,64,4.90085
331,unmanaged,655,74,0.0179275
331,managed,656,74,0.161347
332,unmanaged,655,74,0.66497
332,managed,656,74,5.9847
333,unmanaged,655,2,0.063049
333,managed,656,2,0.56744
334,unmanaged,655,2,0.164851
334,managed,656,2,1.48366
335,unmanaged,659,114,0.71532
335,managed,660,114,6.4378
336,unmanaged,664,84,0.66304
336,managed,665,84,5.9674
337,unmanaged,664,84,0.0377517
337,managed,665,84,0.339766
338,unmanaged,669,49,0.122659
338,managed,670,49,1.10393
339,unmanaged,673,69,0.037336
339,managed,674,69,0.336024
340,unmanaged,673,69,0.0261381
340,managed,674,69,0.235243
341,unmanaged,673,69,0.148842
341,managed,674,69,1.33958
342,unmanaged,677,49,0.154192
342,managed,678,49,1.38773
343,unmanaged,677,49,0.068393
343,managed,678,49,0.61553
344,unmanaged,677,49,0.0358892
344,managed,678,49,0.323003
345,unmanaged,681,13,0.241191
345,managed,682,13,2.17072
346,unmanaged,685,174,8.844
347,unmanaged,686,114,5.2952
348,unmanaged,687,154,1.0517
348,managed,688,154,4.20679
349,unmanaged,690,69,0.101187
349,managed,691,69,0.91069
350,unmanaged,690,69,0.0138624
350,managed,691,69,0.124762
351,unmanaged,690,69,0.138861
351,managed,691,69,1.24975
352,unmanaged,694,119,0.83268
352,managed,695,119,7.4941
353,unmanaged,699,74,0.158158
353,managed,700,74,1.42342
354,unmanaged,699,74,0.0205126
354,managed,700,74,0.184614
355,unmanaged,699,74,0.475651
355,managed,700,74,4.28086
356,unmanaged,703,14,0.0211224
356,managed,704,14,0.190102
357,unmanaged,703,14,0.0398256
357,managed,704,14,0.358431
358,unmanaged,703,14,0.0189585
358,managed,704,14,0.170627
359,unmanaged,707,20,0.074088
359,managed,708,20,0.66679
360,unmanaged,707,20,0.160938
360,managed,708,20,1.44845
361,unmanaged,711,11,0.301343
361,managed,712,11,2.71209
362,unmanaged,711,11,0.0238066
362,managed,712,11,0.214259
363,unmanaged,715,13,0.0209458
363,managed,716,13,0.188513
364,unmanaged,715,13,0.165044
364,managed,716,13,1.48539
365,unmanaged,719,69,5.459
365,managed,720,69,21.836
366,unmanaged,722,74,0.054683
366,managed,723,74,0.49215
367,unmanaged,722,74,0.123299
367,managed,723,74,1.10969
368,unmanaged,722,1,0.12542
368,managed,723,1,1.12878
369,unmanaged,722,1,0.064249
369,managed,723,1,0.57824
370,unmanaged,726,174,0.200089
371,unmanaged,726,174,0.203154
372,unmanaged,726,174,11.858
373,unmanaged,727,19,0.152901
373,managed,728,19,1.37611
374,unmanaged,727,19,0.0159009
374,managed,728,19,0.143108
375,unmanaged,730,4,0.362949
375,managed,731,4,3.26654
378,unmanaged,734,74,0.070863
378,managed,735,74,0.63777
379,unmanaged,734,2,0.064352
379,managed,735,2,0.57917
380,unmanaged,738,79,0.270729
380,managed,739,79,2.43656
381,unmanaged,738,79,0.175193
381,managed,739,79,1.57674
383,unmanaged,742,79,0.232937
383,managed,743,79,2.09644
384,unmanaged,746,69,0.62011
384,managed,747,69,5.581
385,unmanaged,750,149,0.92055
386,unmanaged,751,69,0.092721
386,managed,752,69,0.83449
387,unmanaged,751,69,0.230337
387,managed,752,69,2.07303
388,unmanaged,755,69,2.1021
389,unmanaged,756,99,0.201452
389,managed,757,99,1.81306
390,unmanaged,761,149,0.354626
390,managed,762,149,3.19164
391,unmanaged,765,3,0.482783
391,managed,766,3,4.34504
392,unmanaged,768,79,0.57254
392,managed,769,79,5.1529
393,unmanaged,772,114,0.416428
393,managed,773,114,3.74786
394,unmanaged,777,74,1.42543
394,managed,778,74,5.7017
395,unmanaged,780,79,1.11079
395,managed,781,79,4.44318
396,unmanaged,783,54,0.60221
396,managed,784,54,5.4199
397,unmanaged,783,54,0.0240076
397,managed,784,54,0.216069
398,unmanaged,783,54,0.0186372
398,managed,784,54,0.167735
399,unmanaged,786,79,0.0360398
399,managed,787,79,0.324358
400,unmanaged,786,79,0.56235
400,managed,787,79,5.0612
401,unmanaged,790,39,0.368518
401,managed,791,39,3.31666
402,unmanaged,794,89,0.408715
402,managed,795,89,3.67843
403,unmanaged,799,39,0.088145
403,managed,800,39,0.79331
404,unmanaged,803,14,0.096977
404,managed,804,14,0.87279
405,unmanaged,807,79,0.213484
405,managed,808,79,1.92135
406,unmanaged,807,79,0.0143648
406,managed,808,79,0.129283
407,unmanaged,811,534,0.103141
407,managed,812,534,0.92827
408,unmanaged,816,149,0.202058
408,managed,817,149,1.81852
409,unmanaged,821,11,0.101916
409,managed,822,11,0.91725
410,unmanaged,825,5,0.0298597
410,managed,826,5,0.268737
411,unmanaged,829,51,0.402373
411,managed,830,51,3.62136
412,unmanaged,832,79,0.01485
412,managed,833,79,0.13365
413,unmanaged,832,79,0.13855
413,managed,833,79,1.24695
414,unmanaged,832,79,0.0542
414,managed,833,79,0.4878
415,unmanaged,836,74,2.82605
416,unmanaged,837,44,0.226916
416,managed,838,44,2.04225
417,unmanaged,841,74,1.40449
417,managed,842,74,5.6179
418,unmanaged,844,79,0.94901
418,managed,845,79,8.5411
419,unmanaged,848,79,1.4961
420,unmanaged,849,13,0.53693
420,managed,850,13,4.8324
421,unmanaged,853,49,0.131488
421,managed,854,49,1.18339
422,unmanaged,857,84,4.41683
423,unmanaged,858,149,0.299539
423,managed,859,149,2.69585
424,unmanaged,858,149,0.056281
424,managed,859,149,0.50653
425,unmanaged,863,89,0.138455
425,managed,864,89,1.24609
426,unmanaged,868,5,0.73364
426,managed,869,5,6.6027
427,unmanaged,868,5,0.0257739
427,managed,869,5,0.231965
428,unmanaged,872,28,0.385232
428,managed,873,28,3.46709
429,unmanaged,876,15,0.94993
430,unmanaged,877,15,0.77226
